[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\griffin\2021-03-17_REL606_NCM3722_turnover\batch_3172021_003_013.lcd
Output Date,3/18/2021
Output Time,12:37:59 AM

[File Information]
Type,Data File
Generated,3/17/2021 11:52:40 PM
Generated by,System Administrator
Modified,3/18/2021 12:37:59 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/17/2021 11:52:59 PM
Sample Type,1:Standard
Level,3
Sample Name,2021-03-17_calibration_sample1_003
Sample ID,003
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,3
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\griffin\2021-03-17_REL606_NCM3722_turnover\batch_3172021_003_013.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\griffin\2021-03-17_REL606_NCM3722_turnover\batch.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,5401
Start Time(min),0.000
End Time(min),45.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-4
0.00833,-4
0.01667,-1
0.02500,0
0.03333,-0
0.04167,-2
0.05000,-4
0.05833,-5
0.06667,-5
0.07500,-6
0.08333,-5
0.09167,-5
0.10000,-4
0.10833,-4
0.11667,-3
0.12500,-3
0.13333,-3
0.14167,-2
0.15000,-2
0.15833,-2
0.16667,-3
0.17500,-3
0.18333,-4
0.19167,-4
0.20000,-4
0.20833,-3
0.21667,-3
0.22500,-3
0.23333,-3
0.24167,-2
0.25000,-2
0.25833,-2
0.26667,-2
0.27500,-2
0.28333,-3
0.29167,-3
0.30000,-3
0.30833,-4
0.31667,-4
0.32500,-5
0.33333,-5
0.34167,-5
0.35000,-5
0.35833,-6
0.36667,-6
0.37500,-6
0.38333,-6
0.39167,-7
0.40000,-6
0.40833,-6
0.41667,-7
0.42500,-7
0.43333,-7
0.44167,-7
0.45000,-7
0.45833,-7
0.46667,-8
0.47500,-8
0.48333,-8
0.49167,-8
0.50000,-8
0.50833,-8
0.51667,-8
0.52500,-8
0.53333,-8
0.54167,-8
0.55000,-7
0.55833,-6
0.56667,-5
0.57500,-5
0.58333,-4
0.59167,-3
0.60000,-3
0.60833,-3
0.61667,-4
0.62500,-4
0.63333,-6
0.64167,-7
0.65000,-9
0.65833,-11
0.66667,-13
0.67500,-15
0.68333,-17
0.69167,-19
0.70000,-20
0.70833,-21
0.71667,-22
0.72500,-23
0.73333,-23
0.74167,-23
0.75000,-23
0.75833,-23
0.76667,-22
0.77500,-21
0.78333,-21
0.79167,-20
0.80000,-20
0.80833,-20
0.81667,-20
0.82500,-19
0.83333,-19
0.84167,-19
0.85000,-18
0.85833,-18
0.86667,-18
0.87500,-18
0.88333,-17
0.89167,-17
0.90000,-17
0.90833,-16
0.91667,-16
0.92500,-16
0.93333,-16
0.94167,-16
0.95000,-16
0.95833,-16
0.96667,-16
0.97500,-16
0.98333,-16
0.99167,-16
1.00000,-16
1.00833,-16
1.01667,-16
1.02500,-16
1.03333,-16
1.04167,-16
1.05000,-16
1.05833,-16
1.06667,-16
1.07500,-16
1.08333,-16
1.09167,-17
1.10000,-17
1.10833,-17
1.11667,-18
1.12500,-17
1.13333,-17
1.14167,-17
1.15000,-18
1.15833,-18
1.16667,-18
1.17500,-18
1.18333,-19
1.19167,-19
1.20000,-19
1.20833,-19
1.21667,-19
1.22500,-20
1.23333,-20
1.24167,-20
1.25000,-20
1.25833,-20
1.26667,-20
1.27500,-20
1.28333,-20
1.29167,-21
1.30000,-21
1.30833,-21
1.31667,-21
1.32500,-21
1.33333,-21
1.34167,-21
1.35000,-21
1.35833,-21
1.36667,-21
1.37500,-21
1.38333,-21
1.39167,-21
1.40000,-21
1.40833,-22
1.41667,-22
1.42500,-22
1.43333,-22
1.44167,-22
1.45000,-22
1.45833,-22
1.46667,-23
1.47500,-23
1.48333,-23
1.49167,-23
1.50000,-24
1.50833,-24
1.51667,-24
1.52500,-24
1.53333,-24
1.54167,-24
1.55000,-24
1.55833,-24
1.56667,-24
1.57500,-24
1.58333,-24
1.59167,-25
1.60000,-25
1.60833,-26
1.61667,-26
1.62500,-25
1.63333,-25
1.64167,-25
1.65000,-25
1.65833,-26
1.66667,-26
1.67500,-26
1.68333,-26
1.69167,-26
1.70000,-26
1.70833,-26
1.71667,-26
1.72500,-25
1.73333,-25
1.74167,-25
1.75000,-26
1.75833,-26
1.76667,-26
1.77500,-26
1.78333,-27
1.79167,-27
1.80000,-27
1.80833,-27
1.81667,-28
1.82500,-28
1.83333,-28
1.84167,-28
1.85000,-28
1.85833,-28
1.86667,-28
1.87500,-28
1.88333,-28
1.89167,-28
1.90000,-28
1.90833,-28
1.91667,-29
1.92500,-29
1.93333,-29
1.94167,-29
1.95000,-29
1.95833,-29
1.96667,-30
1.97500,-30
1.98333,-29
1.99167,-30
2.00000,-30
2.00833,-30
2.01667,-30
2.02500,-30
2.03333,-30
2.04167,-30
2.05000,-30
2.05833,-30
2.06667,-30
2.07500,-30
2.08333,-29
2.09167,-30
2.10000,-30
2.10833,-30
2.11667,-31
2.12500,-30
2.13333,-30
2.14167,-31
