[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\griffin\2021-03-26_calibration\2021-03-26_calibration_3262021_005_019.lcd
Output Date,3/27/2021
Output Time,7:52:00 AM

[File Information]
Type,Data File
Generated,3/27/2021 7:11:40 AM
Generated by,System Administrator
Modified,3/27/2021 7:52:00 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/27/2021 7:11:59 AM
Sample Type,1:Standard
Level,5
Sample Name,2021-03-18_NCM3722_turnover_timepoint_005
Sample ID,005
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,23
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\griffin\2021-03-26_calibration\2021-03-26_calibration_3262021_005_019.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\griffin\2021-03-26_calibration\2021-03-26_calibration.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,4801
Start Time(min),0.000
End Time(min),40.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,0
0.00833,0
0.01667,0
0.02500,0
0.03333,0
0.04167,-0
0.05000,-1
0.05833,-1
0.06667,-1
0.07500,-1
0.08333,-1
0.09167,-1
0.10000,-1
0.10833,-1
0.11667,-1
0.12500,-0
0.13333,-0
0.14167,-0
0.15000,-0
0.15833,-0
0.16667,-0
0.17500,0
0.18333,0
0.19167,0
0.20000,0
0.20833,0
0.21667,0
0.22500,0
0.23333,0
0.24167,1
0.25000,1
0.25833,1
0.26667,1
0.27500,1
0.28333,1
0.29167,2
0.30000,2
0.30833,2
0.31667,2
0.32500,2
0.33333,1
0.34167,1
0.35000,1
0.35833,1
0.36667,1
0.37500,1
0.38333,1
0.39167,0
0.40000,0
0.40833,0
0.41667,0
0.42500,0
0.43333,0
0.44167,0
0.45000,0
0.45833,0
0.46667,0
0.47500,1
0.48333,1
0.49167,1
0.50000,1
0.50833,1
0.51667,1
0.52500,1
0.53333,1
0.54167,2
0.55000,2
0.55833,2
0.56667,2
0.57500,2
0.58333,2
0.59167,2
0.60000,1
0.60833,1
0.61667,1
0.62500,1
0.63333,1
0.64167,1
0.65000,1
0.65833,0
0.66667,0
0.67500,0
0.68333,-0
0.69167,-0
0.70000,-0
0.70833,-0
0.71667,-0
0.72500,-0
0.73333,-0
0.74167,-0
0.75000,-1
0.75833,-1
0.76667,-0
0.77500,-1
0.78333,-1
0.79167,-0
0.80000,-0
0.80833,-0
0.81667,-0
0.82500,-0
0.83333,-0
0.84167,-0
0.85000,0
0.85833,0
0.86667,0
0.87500,0
0.88333,0
0.89167,0
0.90000,1
0.90833,1
0.91667,0
0.92500,0
0.93333,0
0.94167,0
0.95000,0
0.95833,0
0.96667,0
0.97500,1
0.98333,1
0.99167,1
1.00000,0
1.00833,0
1.01667,0
1.02500,0
1.03333,0
1.04167,0
1.05000,1
1.05833,1
1.06667,1
1.07500,1
1.08333,1
1.09167,1
1.10000,1
1.10833,1
1.11667,1
1.12500,1
1.13333,1
1.14167,1
1.15000,1
1.15833,1
1.16667,1
1.17500,1
1.18333,1
1.19167,1
1.20000,1
1.20833,1
1.21667,1
1.22500,2
1.23333,2
1.24167,2
1.25000,2
1.25833,2
1.26667,1
1.27500,1
1.28333,1
1.29167,1
1.30000,1
1.30833,2
1.31667,2
1.32500,2
1.33333,2
1.34167,2
1.35000,2
1.35833,2
1.36667,2
1.37500,2
1.38333,2
1.39167,2
1.40000,2
1.40833,3
1.41667,3
1.42500,3
1.43333,2
1.44167,2
1.45000,2
1.45833,2
1.46667,2
1.47500,2
1.48333,2
1.49167,2
1.50000,2
1.50833,2
1.51667,2
1.52500,2
1.53333,2
1.54167,2
1.55000,2
1.55833,2
1.56667,2
1.57500,2
1.58333,2
1.59167,2
1.60000,2
1.60833,2
1.61667,2
1.62500,2
1.63333,2
1.64167,2
1.65000,3
1.65833,3
1.66667,3
1.67500,3
